DIE	0	0	76090	76090
CELL	_445_	XNOR2_X1	24893	16696	27173	19496
CELL	_446_	INV_X1	27790	4493	28550	7293
CELL	_447_	NAND2_X1	23418	16871	24558	19671
CELL	_448_	NAND2_X1	18808	16396	19948	19196
CELL	_449_	XNOR2_X1	16057	18043	18337	20843
CELL	_450_	XNOR2_X1	23121	32340	25401	35140
CELL	_451_	INV_X1	5057	33672	5817	36472
CELL	_452_	NAND2_X1	22050	32680	23190	35480
CELL	_453_	NAND2_X1	18783	30799	19923	33599
CELL	_454_	XOR2_X1	17243	31549	19523	34349
CELL	_455_	INV_X1	19412	38564	20172	41364
CELL	_456_	AOI21_X2	17798	38535	20458	41335
CELL	_457_	XNOR2_X1	15385	45417	17665	48217
CELL	_458_	INV_X1	5057	46832	5817	49632
CELL	_459_	NAND2_X1	17334	46617	18474	49417
CELL	_460_	NAND2_X1	17382	51249	18522	54049
CELL	_461_	XNOR2_X1	16986	54026	19266	56826
CELL	_462_	XNOR2_X1	27523	52618	29803	55418
CELL	_463_	INV_X1	27861	68307	28621	71107
CELL	_464_	AOI21_X1	34093	53726	35613	56526
CELL	_465_	XNOR2_X1	35854	56422	38134	59222
CELL	_466_	NAND2_X1	41835	52049	42975	54849
CELL	_467_	NAND2_X2	42748	54319	44648	57119
CELL	_468_	INV_X1	47999	55545	48759	58345
CELL	_469_	XNOR2_X1	45990	57279	48270	60079
CELL	_470_	INV_X1	52392	68307	53152	71107
CELL	_471_	NAND2_X2	44852	55852	46752	58652
CELL	_472_	NAND2_X2	43947	50227	45847	53027
CELL	_473_	XNOR2_X2	40914	49213	44714	52013
CELL	_474_	XNOR2_X1	59589	39779	61869	42579
CELL	_475_	INV_X1	70183	40006	70943	42806
CELL	_476_	NAND2_X2	55576	37954	57476	40754
CELL	_477_	NAND2_X2	54381	32803	56281	35603
CELL	_478_	XNOR2_X2	51849	31099	55649	33899
CELL	_479_	XNOR2_X1	67500	25923	69780	28723
CELL	_480_	INV_X1	70183	25423	70943	28223
CELL	_481_	XNOR2_X1	46744	13902	49024	16702
CELL	_482_	NAND4_X1	50204	18767	52104	21567
CELL	_483_	NAND3_X1	48714	40579	50234	43379
CELL	_484_	NOR3_X1	49150	39108	50670	41908
CELL	_485_	INV_X1	35236	62799	35996	65599
CELL	_486_	NAND4_X1	23989	53853	25889	56653
CELL	_487_	NAND4_X1	22634	24766	24534	27566
CELL	_488_	NOR2_X1	25321	41237	26461	44037
CELL	_489_	NAND2_X1	49595	41310	50735	44110
CELL	_490_	INV_X1	60634	58987	61394	61787
CELL	PHY_EDGE_ROW_12_Right_12	TAPCELL_X1	73340	36400	73720	39200
CELL	_492_	INV_X1	69015	57323	69775	60123
CELL	_493_	OR2_X1	67993	59228	69513	62028
CELL	PHY_EDGE_ROW_11_Right_11	TAPCELL_X1	73340	33600	73720	36400
CELL	PHY_EDGE_ROW_10_Right_10	TAPCELL_X1	73340	30800	73720	33600
CELL	PHY_EDGE_ROW_9_Right_9	TAPCELL_X1	73340	28000	73720	30800
CELL	_497_	NAND2_X1	61394	67992	62534	70792
CELL	_498_	OAI22_X1	60705	59156	62605	61956
CELL	PHY_EDGE_ROW_8_Right_8	TAPCELL_X1	73340	25200	73720	28000
CELL	_500_	AND3_X1	68934	60587	70834	63387
CELL	_501_	AOI21_X1	69499	61709	71019	64509
CELL	PHY_EDGE_ROW_7_Right_7	TAPCELL_X1	73340	22400	73720	25200
CELL	_503_	INV_X1	65585	68292	66345	71092
CELL	_504_	OAI21_X1	65059	67786	66579	70586
CELL	_505_	NAND2_X1	66781	62410	67921	65210
CELL	_506_	OAI21_X1	61025	61251	62545	64051
CELL	_507_	NAND2_X1	59951	16985	61091	19785
CELL	_508_	OAI21_X1	59477	22317	60997	25117
CELL	_509_	NOR2_X2	59799	25457	61699	28257
CELL	_510_	AOI21_X1	58341	30530	59861	33330
CELL	_511_	NAND2_X1	57104	39822	58244	42622
CELL	_512_	OAI21_X1	57236	45288	58756	48088
CELL	_513_	INV_X2	60272	47837	61412	50637
CELL	_514_	INV_X1	57175	47222	57935	50022
CELL	_515_	NAND3_X4	54980	49521	59920	52321
CELL	_516_	NAND3_X1	64562	50266	66082	53066
CELL	_517_	NAND2_X2	67857	51045	69757	53845
CELL	PHY_EDGE_ROW_6_Right_6	TAPCELL_X1	73340	19600	73720	22400
CELL	_519_	MUX2_X1	48003	4459	50663	7259
CELL	_520_	NAND2_X1	50399	5325	51539	8125
CELL	PHY_EDGE_ROW_5_Right_5	TAPCELL_X1	73340	16800	73720	19600
CELL	_522_	OAI21_X1	49557	9189	51077	11989
CELL	_523_	MUX2_X1	33038	4459	35698	7259
CELL	_524_	NAND2_X1	34436	11202	35576	14002
CELL	_525_	OAI21_X1	33350	17768	34870	20568
CELL	_526_	NAND2_X1	23826	4336	24966	7136
CELL	_527_	OAI21_X1	21474	4428	22994	7228
CELL	_528_	NAND2_X1	19401	4861	20541	7661
CELL	_529_	OAI21_X1	16760	5443	18280	8243
CELL	_530_	NAND2_X1	10559	4336	11699	7136
CELL	_531_	OAI21_X1	9788	6274	11308	9074
CELL	_532_	NAND2_X1	9493	7735	10633	10535
CELL	_533_	OAI21_X1	7502	9919	9022	12719
CELL	PHY_EDGE_ROW_4_Right_4	TAPCELL_X1	73340	14000	73720	16800
CELL	PHY_EDGE_ROW_3_Right_3	TAPCELL_X1	73340	11200	73720	14000
CELL	_536_	MUX2_X1	27997	23781	30657	26581
CELL	_537_	NAND2_X1	30706	24165	31846	26965
CELL	_538_	OAI21_X1	30723	24994	32243	27794
CELL	_539_	NAND2_X1	4718	26642	5858	29442
CELL	_540_	OAI21_X1	4975	26783	6495	29583
CELL	_541_	NAND2_X1	6623	26670	7763	29470
CELL	_542_	OAI21_X1	9052	26383	10572	29183
CELL	_543_	MUX2_X1	4055	50435	6715	53235
CELL	_544_	NAND2_X1	6415	51269	7555	54069
CELL	_545_	OAI21_X1	6714	51599	8234	54399
CELL	_546_	MUX2_X1	4055	59521	6715	62321
CELL	_547_	NAND2_X1	6116	59325	7256	62125
CELL	_548_	OAI21_X1	6219	58883	7739	61683
CELL	_549_	MUX2_X1	23221	68270	25881	71070
CELL	_550_	NAND2_X1	25310	66342	26450	69142
CELL	_551_	OAI21_X1	24503	59108	26023	61908
CELL	_552_	NAND2_X1	33916	68150	35056	70950
CELL	_553_	OAI21_X1	32710	68010	34230	70810
CELL	_554_	NAND2_X1	30882	66862	32022	69662
