DIE	0	0	76090	76090
CELL	_445_	XNOR2_X1	25080	16800	27360	19600
CELL	_446_	INV_X1	26220	5600	26980	8400
CELL	_447_	NAND2_X1	24700	14000	25840	16800
CELL	_448_	NAND2_X1	19000	16800	20140	19600
CELL	_449_	XNOR2_X1	15960	19600	18240	22400
CELL	_450_	XNOR2_X1	23180	33600	25460	36400
CELL	_451_	INV_X1	4940	30800	5700	33600
CELL	_452_	NAND2_X2	17860	33600	19760	36400
CELL	_453_	NAND2_X1	21280	28000	22420	30800
CELL	_454_	XOR2_X1	17100	30800	19380	33600
CELL	_455_	INV_X1	20140	30800	20900	33600
CELL	_456_	AOI21_X2	17860	39200	20520	42000
CELL	_457_	XNOR2_X1	14440	44800	16720	47600
CELL	_458_	INV_X1	4940	47600	5700	50400
CELL	_459_	NAND2_X1	17480	47600	18620	50400
CELL	_460_	NAND2_X1	17480	50400	18620	53200
CELL	_461_	XNOR2_X1	17100	53200	19380	56000
CELL	_462_	XNOR2_X1	25460	53200	27740	56000
CELL	_463_	INV_X1	28880	67200	29640	70000
CELL	_464_	AOI21_X1	34200	53200	35720	56000
CELL	_465_	XNOR2_X1	38380	56000	40660	58800
CELL	_466_	NAND2_X2	38760	53200	40660	56000
CELL	_467_	NAND2_X2	44840	53200	46740	56000
CELL	_468_	INV_X1	49020	56000	49780	58800
CELL	_469_	XNOR2_X1	45980	56000	48260	58800
CELL	_470_	INV_X1	54340	67200	55100	70000
CELL	_471_	NAND2_X2	43320	56000	45220	58800
CELL	_472_	NAND2_X2	45600	50400	47500	53200
CELL	_473_	XNOR2_X2	41040	50400	44840	53200
CELL	_474_	XNOR2_X1	59660	39200	61940	42000
CELL	_475_	INV_X1	71820	39200	72580	42000
CELL	_476_	NAND2_X2	55480	36400	57380	39200
CELL	_477_	NAND2_X2	54340	33600	56240	36400
CELL	_478_	XNOR2_X2	52820	30800	56620	33600
CELL	_479_	XNOR2_X1	69160	25200	71440	28000
CELL	_480_	INV_X1	70300	28000	71060	30800
CELL	_481_	XNOR2_X1	46740	14000	49020	16800
CELL	_482_	NAND4_X1	50160	19600	52060	22400
CELL	_483_	NAND3_X1	48640	39200	50160	42000
CELL	_484_	NOR3_X1	50920	39200	52440	42000
CELL	_485_	INV_X1	35340	58800	36100	61600
CELL	_486_	NAND4_X1	23940	56000	25840	58800
CELL	_487_	NAND4_X1	22800	25200	24700	28000
CELL	_488_	NOR2_X1	25460	39200	26600	42000
CELL	_489_	NAND2_X1	49780	42000	50920	44800
CELL	_490_	INV_X1	59280	58800	60040	61600
CELL	PHY_EDGE_ROW_12_Right_12	TAPCELL_X1	73340	36400	73720	39200
CELL	_492_	INV_X1	69920	56000	70680	58800
CELL	_493_	OR2_X1	65740	58800	67260	61600
CELL	PHY_EDGE_ROW_11_Right_11	TAPCELL_X1	73340	33600	73720	36400
CELL	PHY_EDGE_ROW_10_Right_10	TAPCELL_X1	73340	30800	73720	33600
CELL	PHY_EDGE_ROW_9_Right_9	TAPCELL_X1	73340	28000	73720	30800
CELL	_497_	NAND2_X1	61180	67200	62320	70000
CELL	_498_	OAI22_X1	60800	58800	62700	61600
CELL	PHY_EDGE_ROW_8_Right_8	TAPCELL_X1	73340	25200	73720	28000
CELL	_500_	AND3_X1	68780	61600	70680	64400
CELL	_501_	AOI21_X1	69540	64400	71060	67200
CELL	PHY_EDGE_ROW_7_Right_7	TAPCELL_X1	73340	22400	73720	25200
CELL	_503_	INV_X1	65740	70000	66500	72800
CELL	_504_	OAI21_X1	63080	67200	64600	70000
CELL	_505_	NAND2_X1	66880	61600	68020	64400
CELL	_506_	OAI21_X1	61180	61600	62700	64400
CELL	_507_	NAND2_X1	61560	16800	62700	19600
CELL	_508_	OAI21_X1	63460	22400	64980	25200
CELL	_509_	NOR2_X2	59660	25200	61560	28000
CELL	_510_	AOI21_X1	58520	28000	60040	30800
CELL	_511_	NAND2_X1	57760	39200	58900	42000
CELL	_512_	OAI21_X1	58900	44800	60420	47600
CELL	_513_	INV_X2	60420	47600	61560	50400
CELL	_514_	INV_X1	62320	47600	63080	50400
CELL	_515_	NAND3_X4	55100	50400	60040	53200
CELL	_516_	NAND3_X1	64600	47600	66120	50400
CELL	_517_	NAND2_X4	69160	53200	72580	56000
CELL	PHY_EDGE_ROW_6_Right_6	TAPCELL_X1	73340	19600	73720	22400
CELL	_519_	MUX2_X1	49400	5600	52060	8400
CELL	_520_	NAND2_X1	50540	2800	51680	5600
CELL	PHY_EDGE_ROW_5_Right_5	TAPCELL_X1	73340	16800	73720	19600
CELL	_522_	OAI21_X1	49400	8400	50920	11200
CELL	_523_	MUX2_X1	33060	5600	35720	8400
CELL	_524_	NAND2_X1	34200	11200	35340	14000
CELL	_525_	OAI21_X1	36480	14000	38000	16800
CELL	_526_	NAND2_X1	23940	5600	25080	8400
CELL	_527_	OAI21_X1	21660	5600	23180	8400
CELL	_528_	NAND2_X1	19380	2800	20520	5600
CELL	_529_	OAI21_X1	16720	2800	18240	5600
CELL	_530_	NAND2_X1	7980	5600	9120	8400
CELL	_531_	OAI21_X1	9880	5600	11400	8400
CELL	_532_	NAND2_X1	13300	8400	14440	11200
CELL	_533_	OAI21_X1	7600	8400	9120	11200
CELL	PHY_EDGE_ROW_4_Right_4	TAPCELL_X1	73340	14000	73720	16800
CELL	PHY_EDGE_ROW_3_Right_3	TAPCELL_X1	73340	11200	73720	14000
CELL	_536_	MUX2_X1	28120	22400	30780	25200
CELL	_537_	NAND2_X1	30780	28000	31920	30800
CELL	_538_	OAI21_X1	28120	25200	29640	28000
CELL	_539_	NAND2_X1	4560	25200	5700	28000
CELL	_540_	OAI21_X1	4940	28000	6460	30800
CELL	_541_	NAND2_X1	7220	28000	8360	30800
CELL	_542_	OAI21_X1	9120	25200	10640	28000
CELL	_543_	MUX2_X1	4180	50400	6840	53200
CELL	_544_	NAND2_X1	6460	47600	7600	50400
CELL	_545_	OAI21_X1	7600	50400	9120	53200
CELL	_546_	MUX2_X1	4180	56000	6840	58800
CELL	_547_	NAND2_X1	3420	58800	4560	61600
CELL	_548_	OAI21_X1	6080	61600	7600	64400
CELL	_549_	MUX2_X1	23560	67200	26220	70000
CELL	_550_	NAND2_X1	26980	67200	28120	70000
CELL	_551_	OAI21_X1	21660	56000	23180	58800
CELL	_552_	NAND2_X1	34960	67200	36100	70000
CELL	_553_	OAI21_X1	32680	67200	34200	70000
CELL	_554_	NAND2_X1	30780	67200	31920	70000
CELL	_555_	OAI21_X1	28880	61600	30400	64400
CELL	_556_	MUX2_X1	52060	64400	54720	67200
CELL	_557_	NAND2_X1	54720	61600	55860	64400
CELL	_558_	OAI21_X1	53580	53200	55100	56000
CELL	_559_	MUX2_X1	30780	39200	33440	42000
CELL	_560_	NAND2_X1	34200	36400	35340	39200
CELL	_561_	OAI21_X1	35720	39200	37240	42000
CELL	_562_	MUX2_X1	69160	30800	71820	33600
CELL	_563_	NAND2_X1	69160	36400	70300	39200
CELL	_564_	OAI21_X1	66880	30800	68400	33600
CELL	_565_	MUX2_X1	42180	33600	44840	36400
CELL	_566_	NAND2_X1	43700	30800	44840	33600
CELL	_567_	OAI21_X1	45600	33600	47120	36400
CELL	_568_	MUX2_X1	66120	2800	68780	5600
CELL	_569_	NAND2_X1	69160	8400	70300	11200
CELL	_570_	OAI21_X1	66880	8400	68400	11200
CELL	_571_	MUX2_X1	61560	5600	64220	8400
